======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.22
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] STANCE:COMP | pos=[-0.000,+0.000,-0.273]m | f_tot=[+95.90,+39.07,+195.04]N(w) | f_grf=[+95.90,+39.07,+195.04]N(w) | f_leg=[-95.90,-39.07,-195.04]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+2.46,+8.00,+2.35]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.136,+0.010,-0.330]m | f_tot=[+90.74,+90.85,+113.65]N(w) | f_grf=[+90.74,+90.85,+113.65]N(w) | f_leg=[-90.74,-90.85,-113.65]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.40,+0.39,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.136,+0.010,-0.330]m | f_tot=[+90.63,+90.92,+113.65]N(w) | f_grf=[+90.63,+90.92,+113.65]N(w) | f_leg=[-90.63,-90.92,-113.65]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.41,+0.39,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+90.52,+90.93,+113.66]N(w) | f_grf=[+90.52,+90.93,+113.66]N(w) | f_leg=[-90.52,-90.93,-113.66]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.42,+0.39,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+90.37,+90.94,+113.67]N(w) | f_grf=[+90.37,+90.94,+113.67]N(w) | f_leg=[-90.37,-90.94,-113.67]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.42,+0.39,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+90.13,+92.28,+115.35]N(w) | f_grf=[+90.13,+92.28,+115.35]N(w) | f_leg=[-90.13,-92.28,-115.35]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.36,+0.51,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+90.02,+92.29,+115.36]N(w) | f_grf=[+90.02,+92.29,+115.36]N(w) | f_leg=[-90.02,-92.29,-115.36]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.36,+0.51,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+89.85,+92.29,+115.36]N(w) | f_grf=[+89.85,+92.29,+115.36]N(w) | f_leg=[-89.85,-92.29,-115.36]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.51,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+89.78,+92.29,+115.37]N(w) | f_grf=[+89.78,+92.29,+115.37]N(w) | f_leg=[-89.78,-92.29,-115.37]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.50,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+89.58,+92.90,+116.12]N(w) | f_grf=[+89.58,+92.90,+116.12]N(w) | f_leg=[-89.58,-92.90,-116.12]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.56,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+89.46,+92.90,+116.13]N(w) | f_grf=[+89.46,+92.90,+116.13]N(w) | f_leg=[-89.46,-92.90,-116.13]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.56,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+89.32,+92.91,+116.14]N(w) | f_grf=[+89.32,+92.91,+116.14]N(w) | f_leg=[-89.32,-92.91,-116.14]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.36,+0.55,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+89.21,+92.91,+116.14]N(w) | f_grf=[+89.21,+92.91,+116.14]N(w) | f_leg=[-89.21,-92.91,-116.14]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.36,+0.55,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+89.03,+93.43,+116.79]N(w) | f_grf=[+89.03,+93.43,+116.79]N(w) | f_leg=[-89.03,-93.43,-116.79]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.60,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+88.96,+93.43,+116.79]N(w) | f_grf=[+88.96,+93.43,+116.79]N(w) | f_leg=[-88.96,-93.43,-116.79]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.60,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+88.87,+93.44,+116.80]N(w) | f_grf=[+88.87,+93.44,+116.80]N(w) | f_leg=[-88.87,-93.44,-116.80]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.60,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+88.79,+93.44,+116.80]N(w) | f_grf=[+88.79,+93.44,+116.80]N(w) | f_leg=[-88.79,-93.44,-116.80]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.60,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+88.64,+93.81,+117.26]N(w) | f_grf=[+88.64,+93.81,+117.26]N(w) | f_leg=[-88.64,-93.81,-117.26]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.63,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+88.58,+93.81,+117.26]N(w) | f_grf=[+88.58,+93.81,+117.26]N(w) | f_leg=[-88.58,-93.81,-117.26]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.63,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+88.48,+93.81,+117.27]N(w) | f_grf=[+88.48,+93.81,+117.27]N(w) | f_leg=[-88.48,-93.81,-117.27]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.63,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+88.42,+93.82,+117.27]N(w) | f_grf=[+88.42,+93.82,+117.27]N(w) | f_leg=[-88.42,-93.82,-117.27]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.63,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+88.29,+94.12,+117.64]N(w) | f_grf=[+88.29,+94.12,+117.64]N(w) | f_leg=[-88.29,-94.12,-117.64]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.33,+0.65,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+88.17,+94.12,+117.65]N(w) | f_grf=[+88.17,+94.12,+117.65]N(w) | f_leg=[-88.17,-94.12,-117.65]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.65,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+88.09,+94.13,+117.66]N(w) | f_grf=[+88.09,+94.13,+117.66]N(w) | f_leg=[-88.09,-94.13,-117.66]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.65,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+88.01,+94.13,+117.66]N(w) | f_grf=[+88.01,+94.13,+117.66]N(w) | f_leg=[-88.01,-94.13,-117.66]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.65,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+87.88,+94.43,+118.03]N(w) | f_grf=[+87.88,+94.43,+118.03]N(w) | f_leg=[-87.88,-94.43,-118.03]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.33,+0.68,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+87.80,+94.43,+118.04]N(w) | f_grf=[+87.80,+94.43,+118.04]N(w) | f_leg=[-87.80,-94.43,-118.04]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.68,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+87.71,+94.43,+118.04]N(w) | f_grf=[+87.71,+94.43,+118.04]N(w) | f_leg=[-87.71,-94.43,-118.04]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.68,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+87.64,+94.44,+118.05]N(w) | f_grf=[+87.64,+94.44,+118.05]N(w) | f_leg=[-87.64,-94.44,-118.05]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.68,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+87.54,+94.67,+118.34]N(w) | f_grf=[+87.54,+94.67,+118.34]N(w) | f_leg=[-87.54,-94.67,-118.34]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.70,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+87.46,+94.67,+118.34]N(w) | f_grf=[+87.46,+94.67,+118.34]N(w) | f_leg=[-87.46,-94.67,-118.34]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.70,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+87.40,+94.68,+118.35]N(w) | f_grf=[+87.40,+94.68,+118.35]N(w) | f_leg=[-87.40,-94.68,-118.35]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.70,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+87.34,+94.68,+118.35]N(w) | f_grf=[+87.34,+94.68,+118.35]N(w) | f_leg=[-87.34,-94.68,-118.35]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.70,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+87.25,+94.87,+118.59]N(w) | f_grf=[+87.25,+94.87,+118.59]N(w) | f_leg=[-87.25,-94.87,-118.59]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.71,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+87.19,+94.87,+118.59]N(w) | f_grf=[+87.19,+94.87,+118.59]N(w) | f_leg=[-87.19,-94.87,-118.59]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.71,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+87.15,+94.88,+118.59]N(w) | f_grf=[+87.15,+94.88,+118.59]N(w) | f_leg=[-87.15,-94.88,-118.59]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.71,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+87.09,+94.88,+118.60]N(w) | f_grf=[+87.09,+94.88,+118.60]N(w) | f_leg=[-87.09,-94.88,-118.60]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.71,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+87.00,+95.04,+118.80]N(w) | f_grf=[+87.00,+95.04,+118.80]N(w) | f_leg=[-87.00,-95.04,-118.80]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.73,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.94,+95.04,+118.80]N(w) | f_grf=[+86.94,+95.04,+118.80]N(w) | f_leg=[-86.94,-95.04,-118.80]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.73,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.87,+95.05,+118.81]N(w) | f_grf=[+86.87,+95.05,+118.81]N(w) | f_leg=[-86.87,-95.05,-118.81]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.73,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.81,+95.05,+118.81]N(w) | f_grf=[+86.81,+95.05,+118.81]N(w) | f_leg=[-86.81,-95.05,-118.81]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.73,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.74,+95.20,+119.00]N(w) | f_grf=[+86.74,+95.20,+119.00]N(w) | f_leg=[-86.74,-95.20,-119.00]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.74,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.70,+95.20,+119.00]N(w) | f_grf=[+86.70,+95.20,+119.00]N(w) | f_leg=[-86.70,-95.20,-119.00]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.74,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.65,+95.21,+119.01]N(w) | f_grf=[+86.65,+95.21,+119.01]N(w) | f_leg=[-86.65,-95.21,-119.01]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.74,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.63,+95.21,+119.01]N(w) | f_grf=[+86.63,+95.21,+119.01]N(w) | f_leg=[-86.63,-95.21,-119.01]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.74,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.58,+95.31,+119.13]N(w) | f_grf=[+86.58,+95.31,+119.13]N(w) | f_leg=[-86.58,-95.31,-119.13]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.75,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.54,+95.31,+119.13]N(w) | f_grf=[+86.54,+95.31,+119.13]N(w) | f_leg=[-86.54,-95.31,-119.13]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.75,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.50,+95.31,+119.14]N(w) | f_grf=[+86.50,+95.31,+119.14]N(w) | f_leg=[-86.50,-95.31,-119.14]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.75,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.44,+95.31,+119.14]N(w) | f_grf=[+86.44,+95.31,+119.14]N(w) | f_leg=[-86.44,-95.31,-119.14]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.75,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.37,+95.43,+119.29]N(w) | f_grf=[+86.37,+95.43,+119.29]N(w) | f_leg=[-86.37,-95.43,-119.29]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.34,+0.76,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.32,+95.43,+119.29]N(w) | f_grf=[+86.32,+95.43,+119.29]N(w) | f_leg=[-86.32,-95.43,-119.29]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.76,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.28,+95.43,+119.29]N(w) | f_grf=[+86.28,+95.43,+119.29]N(w) | f_leg=[-86.28,-95.43,-119.29]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.76,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.24,+95.44,+119.29]N(w) | f_grf=[+86.24,+95.44,+119.29]N(w) | f_leg=[-86.24,-95.44,-119.29]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.76,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.17,+95.55,+119.43]N(w) | f_grf=[+86.17,+95.55,+119.43]N(w) | f_leg=[-86.17,-95.55,-119.43]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.77,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.14,+95.55,+119.44]N(w) | f_grf=[+86.14,+95.55,+119.44]N(w) | f_leg=[-86.14,-95.55,-119.44]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.77,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.08,+95.55,+119.44]N(w) | f_grf=[+86.08,+95.55,+119.44]N(w) | f_leg=[-86.08,-95.55,-119.44]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.77,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+86.05,+95.55,+119.44]N(w) | f_grf=[+86.05,+95.55,+119.44]N(w) | f_leg=[-86.05,-95.55,-119.44]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.77,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+85.98,+95.66,+119.58]N(w) | f_grf=[+85.98,+95.66,+119.58]N(w) | f_leg=[-85.98,-95.66,-119.58]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.78,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+85.95,+95.66,+119.58]N(w) | f_grf=[+85.95,+95.66,+119.58]N(w) | f_leg=[-85.95,-95.66,-119.58]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.78,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+85.91,+95.66,+119.58]N(w) | f_grf=[+85.91,+95.66,+119.58]N(w) | f_leg=[-85.91,-95.66,-119.58]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.78,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+85.88,+95.67,+119.58]N(w) | f_grf=[+85.88,+95.67,+119.58]N(w) | f_leg=[-85.88,-95.67,-119.58]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.78,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+85.82,+95.76,+119.69]N(w) | f_grf=[+85.82,+95.76,+119.69]N(w) | f_leg=[-85.82,-95.76,-119.69]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.79,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+85.79,+95.76,+119.69]N(w) | f_grf=[+85.79,+95.76,+119.69]N(w) | f_leg=[-85.79,-95.76,-119.69]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.79,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+85.75,+95.76,+119.70]N(w) | f_grf=[+85.75,+95.76,+119.70]N(w) | f_leg=[-85.75,-95.76,-119.70]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.79,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+85.72,+95.76,+119.70]N(w) | f_grf=[+85.72,+95.76,+119.70]N(w) | f_leg=[-85.72,-95.76,-119.70]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.36,+0.79,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+85.67,+95.84,+119.80]N(w) | f_grf=[+85.67,+95.84,+119.80]N(w) | f_leg=[-85.67,-95.84,-119.80]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.79,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+85.63,+95.84,+119.80]N(w) | f_grf=[+85.63,+95.84,+119.80]N(w) | f_leg=[-85.63,-95.84,-119.80]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.79,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+85.61,+95.84,+119.80]N(w) | f_grf=[+85.61,+95.84,+119.80]N(w) | f_leg=[-85.61,-95.84,-119.80]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.79,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+85.58,+95.85,+119.81]N(w) | f_grf=[+85.58,+95.85,+119.81]N(w) | f_leg=[-85.58,-95.85,-119.81]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.36,+0.79,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+85.54,+95.92,+119.89]N(w) | f_grf=[+85.54,+95.92,+119.89]N(w) | f_leg=[-85.54,-95.92,-119.89]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.80,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+85.52,+95.92,+119.89]N(w) | f_grf=[+85.52,+95.92,+119.89]N(w) | f_leg=[-85.52,-95.92,-119.89]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.35,+0.80,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
